symbol,trade_mode,in_market_watch,category
SAVE,DISABLED,0,Stocks Consumer Services
RCL,FULL,0,Stocks Consumer Services
NCLH,FULL,0,Stocks Consumer Services
AF,FULL,0,Stocks Consumer Services
RYAAY,FULL,0,Stocks Consumer Services
CCL,FULL,0,Stocks Consumer Services
WYNN,FULL,0,Stocks Consumer Services
EURPLN,FULL,0,FX Crosses
USDPLN,FULL,0,FX Crosses
NQCash,FULL,0,Indices US
ZCash,FULL,0,Indices Europe
VIX,FULL,0,Indices US
GBTC,FULL,0,Stocks Finance
MARA,FULL,0,Stocks Finance
DOGUSD,FULL,0,Crypto
COIN,FULL,0,Stocks Finance
GME,FULL,0,Stocks Consumer Goods
AMC,FULL,0,Stocks Consumer Services
SPCE,FULL,0,Stocks Consumer Goods
HOOD,FULL,0,Stocks Finance
GTLB,FULL,0,Stocks Technologies
CMPUSD,FULL,0,Crypto
DOTUSD,FULL,0,Crypto
ICPUSD,FULL,0,Crypto
MTCUSD,CLOSEONLY,0,Crypto
SBAUSD,FULL,0,Crypto
SNXUSD,FULL,0,Crypto
SOLUSD,FULL,0,Crypto
UNIUSD,FULL,0,Crypto
VETUSD,FULL,0,Crypto
ZRXUSD,FULL,0,Crypto
MNTV,CLOSEONLY,0,Stocks Technologies
NIY,FULL,0,Indices Asia
NIYCash,FULL,0,Indices Asia
XU,CLOSEONLY,0,Indices Asia
APEUSD,FULL,0,Crypto
GMTUSD,FULL,0,Crypto
AUS200Cash,DISABLED,0,Indices Other
META,FULL,0,Stocks Technologies
EC,FULL,0,Stocks Energy
BBVA,CLOSEONLY,0,Stocks Finance
CIB,FULL,0,Stocks Finance
MELI,FULL,0,Stocks Finance
CX,FULL,0,Stocks Industrials
AMX,FULL,0,Stocks Telecommunications
XAUEUR,FULL,0,Spot Metals
FLWUSD,FULL,0,Crypto
FTMUSD,CLOSEONLY,0,Crypto
SNDUSD,CLOSEONLY,0,Crypto
TWTUSD,CLOSEONLY,0,Crypto
BRNCash,FULL,0,Energy
P911,CLOSEONLY,0,Stocks Automobile industries
TTE,DISABLED,0,Stocks Energy
NGASCash,FULL,0,Energy
XUCash,CLOSEONLY,0,Indices Asia
USOILCash,FULL,0,Energy
TRUMPUSD,FULL,0,Crypto
PEPEUSD,FULL,0,Crypto
NOTUSD,CLOSEONLY,0,Crypto
AUDUSD.m,FULL,0,FX Majors
EURUSD.m,FULL,0,FX Majors
GBPUSD.m,FULL,0,FX Majors
NZDUSD.m,FULL,0,FX Majors
USDCAD.m,FULL,0,FX Majors
USDCHF.m,FULL,0,FX Majors
USDJPY.m,FULL,0,FX Majors
XAUUSD.m,FULL,0,Spot Metals
TONUSD,FULL,0,Crypto
COTTON,FULL,0,Agriculture
XAUXAG,FULL,0,Spot Metals
